@relation Homer-Bart
@attribute primitive_orange numeric
@attribute primitive_blanc numeric
@attribute primitive_gris numeric
@attribute primitive_vert numeric
@attribute primitive_bleu numeric
@attribute primitive_rouge numeric
@attribute classe {Homer, Bart, Lisa}
@data
0.000018,0.127514,0.000000,0.000000,0.000000,0.000000,Bart
0.000000,0.033075,0.076958,0.000000,0.000000,0.064116,Bart
0.000000,0.296917,0.000000,0.000000,0.000000,0.000000,Bart
0.061885,0.098674,0.001033,0.000000,0.001489,0.000000,Bart
0.000000,0.354240,0.000586,0.000000,0.004187,0.000000,Bart
0.148589,0.048405,0.002312,0.000000,0.002781,0.000000,Bart
0.000000,0.219793,0.000090,0.000000,0.000000,0.000000,Bart
0.001453,0.078481,0.000601,0.000000,0.001804,0.000000,Bart
0.000000,0.142281,0.000925,0.000000,0.003172,0.000000,Bart
0.000000,0.255880,0.000576,0.000000,0.003290,0.000000,Bart
0.178816,0.200295,0.000050,0.000000,0.000285,0.000000,Bart
0.207932,0.201172,0.000000,0.000000,0.000000,0.000000,Bart
0.046986,0.141275,0.000000,0.244318,0.000554,0.000000,Bart
0.000000,0.114339,0.000000,0.000000,0.000000,0.000000,Bart
0.000000,0.200819,0.002645,0.000000,0.000616,0.000000,Bart
0.000000,0.162475,0.000953,0.000000,0.000000,0.000000,Bart
0.229182,0.280376,0.000000,0.000000,0.000000,0.000000,Bart
0.090059,0.167980,0.001234,0.000000,0.000000,0.000000,Bart
0.002725,0.623817,0.005896,0.000000,0.000000,0.000471,Bart
0.090170,0.338863,0.000000,0.000000,0.000000,0.000000,Bart
0.009847,0.065959,0.000000,0.000000,0.000000,0.000000,Bart
0.147259,0.207588,0.000000,0.000000,0.000000,0.002979,Bart
0.219390,0.024707,0.000000,0.000000,0.000000,0.000000,Bart
0.147117,0.149568,0.000000,0.000000,0.000000,0.001897,Bart
0.029869,0.296307,0.001841,0.000000,0.000000,0.000524,Bart
0.190258,0.094168,0.000000,0.000000,0.000460,0.000000,Bart
0.000000,0.170087,0.000000,0.000000,0.002844,0.000000,Bart
0.058848,0.140874,0.135658,0.000000,0.000000,0.002482,Bart
0.153367,0.078232,0.000000,0.000000,0.000000,0.003462,Bart
0.000000,0.185320,0.000000,0.000000,0.000000,0.009264,Bart
0.079007,0.144153,0.000000,0.000000,0.000000,0.086477,Bart
0.146254,0.139806,0.009816,0.000000,0.000000,0.000000,Bart
0.000000,0.110618,0.000000,0.000000,0.000000,0.000000,Bart
0.000000,0.145757,0.000000,0.000000,0.000000,0.034635,Lisa
0.000000,0.072984,0.000000,0.004394,0.000000,0.166125,Lisa
0.000000,0.362737,0.001988,0.000000,0.000000,0.081646,Lisa
0.000000,0.049053,0.000000,0.000000,0.003623,0.047065,Lisa
0.000000,0.105207,0.000000,0.000000,0.000000,0.153417,Lisa
0.000000,0.137809,0.000000,0.000000,0.000000,0.217683,Lisa
0.000000,0.270668,0.000000,0.000000,0.000000,0.120622,Lisa
0.033539,0.415325,0.000000,0.000000,0.000006,0.052861,Lisa
0.000000,0.170752,0.000000,0.000000,0.000000,0.117706,Lisa
0.000000,0.269124,0.000000,0.001289,0.000000,0.089809,Lisa
0.000000,0.087377,0.000000,0.000000,0.000000,0.111708,Lisa
0.000000,0.232064,0.001157,0.001978,0.001418,0.029638,Lisa
0.000000,0.276340,0.000000,0.000000,0.000000,0.019315,Lisa
0.024949,0.485968,0.004810,0.000000,0.000000,0.035434,Lisa
0.000000,0.138413,0.000000,0.000000,0.000000,0.164930,Lisa
0.000000,0.228708,0.000000,0.000000,0.000000,0.041193,Lisa
0.000000,0.087839,0.000000,0.000000,0.000000,0.155389,Lisa
0.000120,0.342576,0.000997,0.000000,0.001476,0.109072,Lisa
0.019024,0.262904,0.004667,0.000000,0.003139,0.044900,Lisa
0.000000,0.068043,0.001274,0.000000,0.000000,0.107614,Lisa
0.000000,0.159452,0.000000,0.000000,0.000000,0.172965,Lisa
0.000000,0.112175,0.000000,0.000000,0.000000,0.222097,Lisa
0.000000,0.387936,0.000000,0.000000,0.000000,0.121034,Lisa
0.000000,0.068313,0.000000,0.000000,0.000000,0.128469,Lisa
0.000000,0.093302,0.002312,0.000000,0.000000,0.000000,Lisa
0.000000,0.115768,0.000574,0.000000,0.000000,0.008828,Lisa
0.000000,0.115163,0.000000,0.000000,0.000000,0.224937,Lisa
0.000000,0.261301,0.000000,0.000000,0.000000,0.000000,Lisa
0.000000,0.152789,0.000111,0.000000,0.000000,0.000000,Lisa
0.000000,0.192108,0.000000,0.000000,0.000000,0.118190,Lisa
0.000000,0.146674,0.000664,0.000000,0.000000,0.066874,Lisa
0.000000,0.033638,0.000068,0.000000,0.000000,0.236937,Lisa
0.000000,0.105122,0.000000,0.000000,0.000000,0.183462,Lisa
